@relation converted_data
@attribute a01 numeric
@attribute a02 numeric
@attribute a03 numeric
@attribute a04 numeric
@attribute a05 numeric
@attribute a06 numeric
@attribute a07 numeric
@attribute a08 numeric
@attribute a09 numeric
@attribute a10 numeric
@attribute a11 numeric
@attribute a12 numeric
@attribute a13 numeric
@attribute a14 numeric
@attribute a15 numeric
@attribute a16 numeric
@attribute a17 numeric
@attribute a18 numeric
@attribute a19 numeric
@attribute a20 numeric
@attribute a21 numeric
@attribute a22 numeric
@attribute a23 numeric
@attribute a24 numeric
@attribute a25 numeric
@attribute a26 numeric
@attribute a27 numeric
@attribute a28 numeric
@attribute a29 numeric
@attribute a30 numeric
@attribute a31 numeric
@attribute a32 numeric
@attribute a33 numeric
@attribute a34 numeric
@attribute a35 numeric
@attribute a36 numeric
@attribute a37 numeric
@attribute a38 numeric
@attribute a39 numeric
@attribute a40 numeric
@attribute a41 numeric
@attribute a42 numeric
@attribute a43 numeric
@attribute a44 numeric
@attribute a45 numeric
@attribute a46 numeric
@attribute a47 numeric
@attribute class {0,1,2,3,4,5,6,7,8,9}
@data
0.42,2.27,31.46,22.84,160.37,89.35,258.1,0.35,7.07,87.54,112.23,176.27,114.23,0.3,10.98,36.18,170.35,78.69,198.14,0.93,31.1,82.97,115.58,211.53,1.75,19.56,111.17,212.87,17,5.15,37.6,81.21,174.75,4.18,44.15,309.69,13.45,7.82,45.09,90.34,8.37,224.26,180.43,11.77,119.97,68.66,328.69,7
0.24,4.06,29.97,92.9,116.11,109.58,317.78,0.25,3.9,77.03,195.46,127.7,163.01,0.53,10.13,61.18,93.3,102.15,142.9,0.57,26.28,129.99,55.26,212.74,1.58,24.51,49.44,256.21,75.66,4.23,53.61,31.44,109.74,4.54,16.63,332.97,51.44,10.42,25.86,109.83,2.87,228.37,214.76,8.03,153.95,67.96,386.18,7
0.14,2,25.56,87.3,58.72,125.2,107.1,0.2,2.9,64.47,207.29,112.45,296.16,0.22,7.66,58.14,75.14,56.14,64.2,0.4,21.42,132.42,79.82,273.81,1.1,22.58,58.08,270.86,193.69,3.37,52.52,42.61,167.89,4.04,26.93,338.93,53.34,9.89,15.72,167.89,5.82,223.47,277.48,3.05,160.17,64.84,444.85,7
0.12,1.2,15.77,94.94,138.3,121.72,348.06,0.16,5,65.48,166.93,107.89,108.99,0.14,5.17,53.53,129.26,118.99,150.54,0.66,21.83,109.95,90.82,160.49,0.79,19.55,84.68,302.55,54.44,3.44,44.32,56.43,64.9,3.42,35.26,368.8,8.21,8.43,23.61,115.31,7.09,243.99,296.77,5,146.77,71.15,452.95,7
0.17,3,8,40.22,144.83,122.7,302.45,0.15,3.55,65.4,176.24,91.9,163.53,0.36,3.15,32.44,109.02,157.23,105.85,0.49,21.18,114.79,25.51,187.99,0.53,13.9,64.09,302.78,84.52,3.28,46.22,18.37,86.7,2.63,26.74,345.3,26.17,8.8,21.22,126.33,5.65,222.95,235.51,6.79,149.22,64.31,381.52,7
0.22,3.1,12.57,56.99,102.92,138.88,276.86,0.19,2.89,73.21,184.77,130.15,233.75,0.36,4.58,44.12,101.49,42.75,117.64,0.39,24.26,121.04,75.73,272.8,0.74,18.62,62.81,253.49,82.24,3.82,48.99,44.81,172.04,3.51,24.07,346.27,35.39,9.37,23.62,141.51,4.47,237.86,246.48,6.17,163.36,70.52,416.23,7
0.27,1.47,44.58,155.43,183.41,111.57,338.22,0.46,1.9,61.11,122.05,87.49,60.9,0.2,14.46,95.95,153.82,138.65,212.1,0.28,22.88,92.21,75.57,156.61,2.2,37.15,90.03,290.53,8.35,3.91,41.09,76.7,72.98,6.76,33.73,366.03,29.38,8.39,47.17,115.78,6.19,251.9,300.45,12.61,173.4,75.44,467.15,7
0.1,1.48,39.11,117.34,164.53,95.15,250.33,0.2,1.76,51.43,131.88,54.32,217.64,0.17,11.41,70.95,155.82,148.98,90.45,0.24,16.56,82.89,12.6,215.37,1.6,25.97,100.72,318.97,48.5,2.56,32.61,29.91,122.96,4.47,41.4,357.1,41.87,6.12,19.78,109.33,8.24,226.31,298.6,5.21,116.01,64.49,417.38,7
0.16,2.26,28.92,71.18,235.68,136.85,313.38,0.2,2.59,48.97,89.5,44.48,61.24,0.29,8.84,44.01,193.26,231.27,190.69,0.36,16.13,64.96,22.91,136.4,1.28,16.84,110.11,363.44,55.7,2.53,27.67,48.32,79.82,3.02,40.51,378.33,125.72,5.44,33.66,40.59,7.37,235.11,356.1,9.32,87.85,66.61,451.3,7
0.32,3.88,15.12,58.58,50.31,168.35,75.13,0.35,3.45,80.7,190.84,180.72,234.5,0.48,5.39,47.45,79.59,40.48,23.42,0.45,27.31,127.05,94.04,243.66,0.87,20.76,56.27,228.36,141.41,4.37,52.44,29.95,141.6,4.01,22.63,333.46,24.29,10.2,5.91,140.44,4.26,234.33,298.26,1.78,164.56,70.2,471.14,7
0.19,0.67,42.42,144.14,74.14,263.35,6.06,0.24,2.5,34.3,84.62,217.04,122.87,0.09,12.86,88.25,73.31,126.66,117.79,0.34,12.92,57.51,257.15,228.66,1.85,32.78,52.91,96.44,221.61,2.19,24.5,200.55,270.79,5.72,23.22,215.44,89.74,4.89,97.5,259.2,4.79,164.08,219.9,22.58,183.1,50.43,386.61,7
0.05,1.7,28.3,122.44,162.7,321.59,61.82,0.1,1.19,16.26,81.3,137.27,185.63,0.2,7.94,64.01,121.11,179.48,224.54,0.15,5.38,47.42,117.48,181.26,1.08,21.28,76.48,130.14,287.36,0.84,17.48,87.32,147.22,3.43,32.48,204.89,96,3.12,42.87,178.98,6.69,147.88,228.59,10.05,149.98,44.34,378.62,7
0.15,1.12,26.29,53.07,243.16,128.15,278.9,0.11,4.25,58.89,107.77,32.2,164.73,0.14,8.07,35.03,191.89,110.64,190.72,0.55,19.24,69.66,37.77,246.15,1.17,14.12,110.33,233.42,72.06,3,28.07,52.04,188.24,2.61,41.57,294.27,134.29,5.36,32.93,106.47,7.76,197.82,346.93,8.75,100.75,58.07,433.8,7
0.32,2.73,23.09,89.36,26.93,138.09,245.53,0.4,4.43,78.67,206.21,212.42,240.84,0.34,8.39,67.96,51.65,71.05,116.14,0.62,28.13,137.18,116.4,325.91,1.37,29.04,39.61,218.74,89.08,4.67,56.88,35.87,221.16,5.56,17.2,332.16,53.18,11.13,6.36,113.22,3.51,240.92,248.32,2.77,157.24,73.57,445.14,7
0.09,0.26,20.65,42.72,158.64,98.4,190.66,0.12,4.4,56.83,123.68,153.07,216.5,0.03,6.27,30.25,152.44,124.19,55.62,0.56,17.83,76.14,87.1,248.07,0.9,12.05,97.56,293.9,47.57,2.69,29.34,41.08,183.15,2.18,39.49,332.13,61.31,5.41,16.54,127.13,7.76,209.79,306.47,3.83,103.68,59.53,406.85,7
0.18,1.93,32.16,103.28,98.89,229.86,86.82,0.3,2.23,59.63,181.58,157.69,272.92,0.24,10.18,66.79,67.71,109.85,69.98,0.3,20.99,121.12,115.71,281.74,1.52,26.05,36.53,185.02,235.96,3.44,49.76,84.41,161.39,4.72,12.68,299.98,128.8,9.63,46.04,172.19,2.14,219.06,220.1,11.9,192.58,66.75,430.83,7
0.15,1.56,25.41,70.98,86.6,184.21,173.08,0.13,4.21,62.07,121.41,182.05,182,0.18,7.76,42.49,109.94,53.54,46.57,0.55,20.4,77.96,137.82,252.87,1.13,16.11,78.59,182.43,124.14,3.19,31.19,95.22,188.82,2.88,33.51,285.54,83.35,5.92,47.63,141.87,6.75,203.53,163.67,11.6,141.47,61.18,322.23,7
0.23,2.61,25.07,104.02,92.21,241.04,103.43,0.43,8.62,67.57,131.94,199.37,206.86,0.35,8.56,61.75,100.14,75.69,39.96,1.19,23.91,95.62,190.66,285.1,1.35,23.48,71.61,175.98,190.04,3.93,40.77,128.93,255.11,4.23,31.49,296.98,88.08,8.04,56.44,219.02,6.58,215.77,231.55,12.13,175.28,65.44,417.1,7
0.03,2.3,36.1,132.37,130.58,190.83,28.28,0.13,1,20.78,117.08,135.65,236.16,0.28,10.29,71.68,128.46,57.45,96.91,0.13,6.13,67.37,112.9,201.05,1.42,24.47,95.4,201.19,167.82,0.89,25.08,90.34,155.45,4.03,43.45,281.64,3.92,4.54,47.4,175.39,9.25,191.98,299.47,11.6,140.71,56.37,430.66,7
0.27,0.52,34.22,73.69,134.37,78.43,261.46,0.3,7.31,76.33,129.25,211.48,138.5,0.1,11.03,49.66,159.79,68.92,175.18,1.01,26.92,85.97,176.89,213.89,1.68,20.69,114.93,253.83,4.32,4.43,36.11,116.07,185.29,3.95,50.01,353.7,10.6,7.16,53.21,140.97,10.29,249.72,254.86,12.26,137.88,75.41,410.4,7
0.15,4.58,35.68,82.08,230.12,87.42,286.47,0.16,4.61,50.72,103.56,53.42,103.58,0.56,10.69,48.76,228.71,194.93,170.24,0.61,16.64,79.48,26.5,92.85,1.53,17.93,157.07,343.96,65.07,2.6,34.71,50.35,53.84,3.12,68.1,366.22,141.2,6.92,36.03,47.45,14.13,229.3,344.81,10.17,37.55,65.21,417.77,7
0.04,0.82,13.61,75.89,99.9,128.67,118.73,0.05,2.2,39.45,115.56,151.19,256.21,0.08,3.8,39.78,105.79,85.45,48.12,0.28,11.96,66.14,98.78,254.23,0.52,13.36,73.09,261.13,140.51,1.76,24.25,54.83,181.79,2.18,31.32,304.29,3.5,4.32,23.97,188.51,6.41,193.02,279.53,5.56,163.12,54.74,395.89,7
0.18,2.85,52.68,146.65,197.31,169.69,309.88,0.21,2.29,17.49,77.9,32.31,115.92,0.35,15.68,89.09,196.75,185.64,190.3,0.32,5.36,52.12,63.5,140.67,2.23,32.96,135.85,302.48,19.94,0.8,21.1,81.97,53.77,5.74,59.07,348.81,45.27,4.01,49.57,70.41,12.27,229.56,261.43,12.85,95.38,67.03,381.24,7
0.05,2.71,33.41,97.19,85.29,326.23,25.27,0.14,1.95,32.14,144.9,218.28,190.28,0.33,9.73,52.69,42.41,199.45,97.6,0.29,10.62,89.21,163.01,152.38,1.36,18.24,15.05,145.6,151.45,1.66,34.52,112.5,39.12,3.05,4.49,206.38,29.48,6.4,56.63,143.96,1.06,148.61,336.92,13.88,152.58,44.78,458.2,7
0.19,1.5,25.9,37.44,135.13,141.88,217.91,0.2,7.81,81.6,156.34,179.17,200.41,0.21,8.91,33.12,152.75,81.07,66.72,1.08,27.74,105.38,107.67,258.43,1.4,14.92,106.2,290.85,111.46,4.44,43.29,51.54,197.43,2.92,45.08,385.87,36.56,8.35,21.49,136.08,9.11,263.72,268.59,5.28,129.08,78.12,444.42,7
0.14,2.91,21.26,59.77,173.77,122.04,241.95,0.22,2.93,74.76,185.71,105.73,208.16,0.36,6.67,42.11,137.25,174.39,106.19,0.35,23.89,129.44,41.55,227.35,0.98,16.78,75.39,316.82,35.06,3.66,53.68,28.67,152.57,3.05,26.94,351.99,44.09,10.36,24.45,112.67,4.81,224.88,300.52,7.48,105.74,64.55,425.33,7
0.12,2.33,39.72,84.32,142.34,109.63,330.21,0.31,7.68,66.48,101.78,105.87,96.26,0.32,12.77,57.45,161.69,111.52,228.09,1.07,22.58,61.77,17.72,197.45,1.93,23.15,122.96,228.07,21.19,3.65,24.68,46.67,130.66,4.29,57.02,314.06,10.71,4.8,38.92,55.32,12.36,224.1,183.32,11.49,116.96,68.17,325.61,7
0.18,2.64,9.82,59.31,99.58,215.21,152.67,0.21,1.84,60.69,156.42,176.06,225.02,0.32,3.2,38.06,92.48,41.8,18.8,0.22,19.46,103.65,130.52,273.21,0.48,15.01,54.86,201.95,157.73,2.98,41.72,74.31,216.97,2.73,20.21,283.48,52.03,7.91,29.25,171.02,3.62,191.71,228.35,5.91,136.17,55.97,373.71,7
0.09,0.14,29.97,129.46,88.61,139.27,120.53,0.23,3.02,47.75,123.95,203.96,217.98,0.04,8.39,73.91,104.16,64.94,5.25,0.4,15.34,79.72,159.27,255.58,1.14,26.19,79.3,231.81,88.25,2.36,31.77,88.52,227.79,4.42,36.69,285.3,40.36,6,32.3,197.93,7.93,186.13,300.2,5.94,144.21,53.65,408.22,7
0.1,1.97,42.99,114.24,200.02,181.54,354.87,0.26,6.34,65.96,113.79,24.7,68.89,0.26,13.5,71.72,193.02,206.38,232.13,0.88,22.85,79.72,54.5,148.6,2,27.37,130.63,338.76,37.75,3.71,33.43,66.99,84.11,4.89,55.95,401.16,65.02,6.53,40.1,63.54,11.49,269.02,322.21,10.37,116.25,79.46,467.13,7
0.14,3.65,37.03,83.78,178.99,111.37,264.3,0.22,2.17,58.84,155.71,69.35,163.44,0.46,11.29,52.92,163.07,201.39,109.39,0.3,19.01,104.05,15.83,174.44,1.64,19.9,100.29,362.15,25.17,2.94,42.4,35.22,114.96,3.49,39.12,390.19,76.87,8.12,27.4,117.45,7.44,244.83,348.97,7.91,113.58,69.58,467.64,7
0.05,1.11,23.53,102.36,160.54,149.36,318.68,0.08,3.35,48.27,142.23,104.81,128.68,0.13,6.95,54.03,119.85,132.25,126.59,0.43,15.56,86.26,72.37,146.88,0.98,18.37,71.03,249.97,45.75,2.39,32.89,49.23,32.96,3.03,28.3,300.97,29.06,6.02,25.57,131.96,5.56,198.52,287.1,6.4,150.45,57.72,412.44,7
0.15,1.42,30.51,131.68,67.75,262.67,96.48,0.38,6.17,52.24,122.67,187.45,168.75,0.2,9.23,75.55,95.35,130.59,4.14,0.85,18.57,84.84,177.02,265.9,1.35,27.57,76.16,111.58,153.25,3.05,35.51,119.33,250.57,4.8,35.73,240.58,88.34,6.95,51.97,199.48,7.77,184.64,184.73,11.09,148.66,57.16,354.46,7
0.26,2.19,30.56,68.57,124.73,169.51,180.95,0.38,4.37,83.16,171.77,157.43,199.3,0.26,10.19,58.8,120.86,74.71,54.94,0.58,28.39,121.99,87.75,258.22,1.57,25.75,75.04,228.25,122.84,4.57,51.9,35.02,192.02,4.95,29.27,322.63,78.24,10.25,10.82,145.55,5.58,225.49,193.43,2.34,144.99,67.46,368.87,7
0.17,1.39,37.13,105.71,26.28,98.45,213.45,0.35,0.87,57.26,201.51,184.53,188.39,0.16,11.42,70.25,36.33,4.86,100.9,0.1,18.92,120.89,139.46,201.64,1.67,27.38,35.29,181.6,64.13,2.99,46.63,88.23,125.99,4.92,17.1,272.65,22.68,8.68,40.68,116.52,3.67,193.89,222.99,9.48,132.04,58.4,370.24,7
0.04,1.1,25.88,78.19,182.25,101.38,304.23,0.12,2.83,50.91,129.87,99.08,121.21,0.12,7.6,47.6,164.49,190.29,143.66,0.36,15.86,80.04,40.01,159.43,1.07,17.47,103.7,337.22,2.01,2.38,30.79,8.19,97.03,3.01,41.97,358.39,82.47,5.67,6.19,94.37,8.27,222.42,318.58,2.15,103.82,62.73,418.27,7
0.28,2.96,20.03,54.88,79.41,173.79,256.56,0.24,4.66,82.43,166.18,212.51,191.72,0.36,7.08,44.05,103.2,97.23,155.62,0.62,28.2,114.49,141.56,283.39,1.13,19.66,72.29,189.91,43.45,4.54,48.08,80.16,224.87,3.85,29.87,306.48,35.95,9.44,36.76,148.57,5.82,225.67,215.72,8.92,147.83,69.18,386.24,7
0.22,3.12,12.85,64.65,105.29,214.14,152.4,0.27,1.79,64.02,158.06,172.83,222.28,0.38,4.21,43.04,93.78,34.34,14.21,0.23,20.85,107.08,130.34,272.99,0.64,17.29,52.98,203.17,154.59,3.24,43.83,77.81,216.62,3.18,18.43,287,53.54,8.41,32.61,166.84,3.1,194.77,225.83,6.99,134.32,57,373.6,7
0.09,3.46,38.35,98.59,185.13,67.39,250.46,0.11,4.46,36.46,54.37,136.03,79.49,0.43,11.68,61.26,216.93,173.02,169.4,0.6,12.16,34.33,78.25,134.13,1.69,23.02,159.65,339.47,85.41,1.93,13.75,40.1,118.35,4.05,71.54,376.37,180.3,2.64,19.54,75.14,15.09,240.08,401.93,5.11,58.46,68.9,474.25,7
0.15,2.58,30.29,117.7,59.77,73.77,128.33,0.29,1.12,65.64,201.76,114.31,240.53,0.3,9.13,77.05,63.77,91.23,2.44,0.15,21.77,130.59,67.83,231.79,1.31,29.63,45.74,284.85,100.71,3.43,52.52,32.92,127.34,5.28,20.74,338.9,33.31,10,12.11,153.74,4.48,220.06,337.94,2.45,165.12,63.48,477.29,7
0.13,1.25,29.95,94.23,181.35,186.21,332.22,0.15,3.11,55.2,113.99,36.85,85.75,0.15,9.04,54.69,143.22,214.9,161.34,0.42,18.12,74.76,44.02,163.71,1.3,19.99,82.36,319.83,14.04,2.83,30.12,60.68,74.39,3.48,30.94,347.49,38.53,5.73,38,75.34,5.75,221.86,277.83,10.03,122.33,63.73,399.92,7
0.15,3.05,20.76,76.58,140.95,61.01,72.41,0.28,6.4,46.53,101.27,7.69,82.72,0.38,6.55,46.28,161.28,176.79,30.83,0.84,14.92,67.49,30.06,68.51,0.97,17.14,118.11,274.81,49.41,2.3,27.62,41.62,120.55,2.99,53,269.24,178.87,5.32,27.43,110.54,11.21,161.17,339.53,7.59,59.55,44.79,361.08,7
0.17,1.61,15.17,29.42,117.86,78.06,142.74,0.12,3.93,61.31,133.78,227.38,180.66,0.19,4.94,26.59,119.68,66.88,75.16,0.5,20,85.14,179.35,252.03,0.75,11.95,76.35,236.09,16.47,3.11,33.99,109.31,223.35,2.32,30.15,294.74,65.61,6.45,46.4,164.62,5.75,195.46,290.62,10.04,124.55,56.95,392.69,7
0.13,2.48,15.36,55.58,103.95,83.29,275.21,0.15,2.19,58.59,176.28,103.69,182.65,0.29,4.72,33.3,107.52,113.46,74.3,0.28,18.27,104.96,47.4,176.9,0.69,12.43,70.33,299.81,91.23,2.75,39.82,18.42,70.05,2.19,28.44,348.71,0.63,7.29,11.11,117.27,5.53,223.55,272.98,3.33,135.2,63.95,408.09,7
0.34,0.83,51.45,167,114.39,350.31,58.08,0.57,1.46,50.49,84.29,137.76,52.66,0.13,16.71,111.61,114.09,278.19,43.09,0.19,20.16,77.72,193.68,203.2,2.54,44.42,84.96,10.93,248.62,3.57,38.04,169.24,260.68,8.17,38.52,201.37,217.83,8.16,88.4,247.78,8.17,190.55,109.14,21.4,193.51,63.69,360.43,7
0.12,1.23,16.04,24.48,171.34,126.57,236.67,0.11,3.04,50.83,112.28,169.15,146.53,0.15,5.11,20.39,171.49,189.6,90.28,0.39,16.38,72.3,105.86,210.09,0.76,8.84,112.54,350.75,28.66,2.52,28.63,49.45,168.64,1.68,46.12,383.48,85.63,5.37,17.28,113.01,9.1,241.33,356.92,3.55,94.59,68.55,468,7
0.21,3.01,20.54,87.89,105.19,258.35,91.8,0.22,3.06,76.08,171.38,164.98,226.47,0.37,6.77,58.41,109.46,78.99,48,0.41,25.67,121.19,129.36,307.46,1.04,23.21,70.71,190.78,199.64,4.09,51.03,78.73,265.07,4.25,27.99,318.63,88.12,9.98,33.4,211.56,5.32,229.83,250.32,7.23,170.37,69.36,444.43,7
0.14,1.03,27.76,106.75,171.19,133.91,295.79,0.22,1.18,32.37,119.2,104.59,183.29,0.13,7.96,64.05,158.88,180.09,138.96,0.15,10.11,73.98,30.92,218.5,1.1,23.28,100.28,338.55,4.2,1.53,28.63,41.3,144.06,3.99,40.34,373.3,90.83,5.3,29.23,97.66,7.9,235.44,355.56,8,97.33,66.91,467.55,7
0.15,0.86,40.85,149.68,140.61,115.35,288.27,0.38,1.18,46.77,128.06,42.35,191.87,0.1,12.07,91.93,132.06,135.18,124.22,0.13,15.82,84.76,31.27,212.55,1.71,34.15,87.29,283,54.54,2.53,34.92,43.74,99.96,5.95,37.11,330.68,8.99,6.78,25.93,103.34,7.63,215.39,234.06,6.54,135.23,62.36,372.11,7
0.32,1.33,40.81,79.26,128.11,164.98,163.76,0.28,6.63,86.01,132.27,189.44,190.46,0.18,13.65,62.11,128.82,25.68,49.67,0.9,30.5,98.48,143.85,273.21,2.11,27.45,78.18,222.39,109.82,5.04,43.54,99.75,224.07,5.36,28.94,328.02,56.84,8.84,50.88,153.51,5.17,232.26,215.96,12.64,148.67,69.98,387.98,7
0.16,1.59,40.75,157.14,161.47,325.33,7.6,0.23,0.35,25.67,104.89,122.86,179.87,0.2,12.13,92.26,129.92,194.55,140.81,0.06,9.37,64.05,107.69,202.97,1.73,33.33,89.19,103.41,263.59,1.56,24.75,85.08,164.33,5.71,40.01,215.94,130.57,4.6,43.57,191.03,8.53,168.4,196.44,10.46,169.81,52.32,380.35,7
0.23,1.2,44.54,132.98,176.57,127.99,302.21,0.25,1.62,36.15,98.37,6.09,72.38,0.16,13.67,87.86,182.91,216.53,183.44,0.21,12.74,64,81.41,122.35,1.99,33.92,125.3,389.14,37.71,2.09,26.01,97.92,61.02,6.05,53.65,432.83,129.77,5.02,56.87,48.66,11,277.96,419.72,14.38,85.54,80.11,547.36,7
0.15,3.47,15.84,56.35,24.46,126.84,126.57,0.2,2.43,50.22,176.87,157.04,288.74,0.43,5.32,40.16,22.27,41.31,62.86,0.36,16.32,108.85,80.56,278.05,0.82,16.19,19.31,227.45,186.23,2.53,42.49,42.15,134.16,2.97,11.8,283.31,56.59,7.95,25.62,126.09,3.08,185.3,236.14,7.37,149.03,53.47,381.15,7
0.18,1.63,22.14,61.98,119.12,186.63,203.51,0.21,7.26,80.67,166.87,205.57,193.27,0.21,7.67,40.87,139.16,85.21,69.68,1,27.72,116.48,166.1,257.84,1.22,16.9,97.09,243.66,108.48,4.47,48.79,100.67,224.44,3.21,41.11,350.74,43.14,9.52,41.02,174.05,8.28,246.68,255.37,8.42,139.18,73.98,432.72,7
0.21,2.1,17.7,79.47,160.07,114.57,367.5,0.25,4.43,73.23,177.69,56.94,132.33,0.25,5.72,48.08,140.26,149.7,179.97,0.57,24.26,119.92,40.54,162.21,0.86,18.35,85.52,319.12,23.3,3.81,49.06,41.39,60.31,3.3,33.35,374.23,25.1,9.41,24.08,92.7,6.35,244.32,290.69,6.13,124.79,70.82,434.28,7
0.11,2.05,21.34,16.51,179.24,99.55,208.3,0.09,4.6,56,111.97,181.09,185.67,0.26,6.82,16.61,171.93,135.12,89.75,0.6,17.94,70.69,113.38,237.22,1.01,7.87,108.84,298.71,16.37,2.75,27.93,50.13,191.89,1.56,43.4,339.09,80.51,5.26,15.59,123.92,8.4,215.88,318.65,3.01,90.91,61.61,416.81,7
0.14,1.83,43.26,153.7,174.47,174.46,328.76,0.42,6.42,12.78,145.7,22.24,179.06,0.26,13.65,92.92,127.86,238.71,154.84,0.87,4.48,106.18,99.99,193.68,2.03,34.4,64.58,347.15,23.24,0.77,45.62,140.3,88.29,6.01,20.76,365.58,46.73,9.04,90,86.47,3.29,231.71,322.98,24.28,114.36,66.6,463.3,7
0.31,2.87,36.65,67.27,180.13,99.31,259.26,0.42,4.23,84.19,139.45,144.27,139.31,0.36,12.3,57.61,177.79,144.24,166.1,0.56,29.4,104.21,59.53,228.87,1.91,25.86,113.28,309.35,20.68,4.82,46.09,28.48,167.67,5.08,44.73,390.44,3.17,9.36,23.61,102.53,8.5,268.31,259.92,7.29,138.82,80.25,431.4,7
0.16,0.93,37.94,137.56,205.22,327.52,17.86,0.28,0.61,40.29,101.8,59.27,100.69,0.12,11.73,82.18,149.31,220.26,182.37,0.12,14.11,75.31,87.48,172.23,1.71,30.13,84.63,161.09,310.39,2.3,32.27,94.31,171.38,5.22,32.08,243.83,161.3,6.36,54.47,190.56,6.03,181.33,194.9,13.88,164.07,55.57,397.43,7
0.14,2.06,20.67,88,130.4,137.34,329.07,0.09,3.34,67.83,189.81,104.81,225.98,0.25,6.75,54.91,111.17,109.83,156.33,0.47,22.58,123.17,51.39,263.84,1.03,20.97,63.7,282.24,51.1,3.56,49.42,38.16,162.17,3.75,23.28,358.48,0.92,9.39,25.47,107.52,4.21,241.12,282.3,7.2,134.43,70.84,442.79,7
0.21,2.22,15.95,39.54,36.74,187.19,209.49,0.1,5.28,74.46,202.38,197.54,263.27,0.27,6.11,34.78,61.49,57.85,79.34,0.74,25.53,128.94,128.14,323.01,1.02,15.6,53.2,186.77,109.35,4.11,51.41,63.8,234.12,3.05,25.4,315.62,50.4,9.76,27.11,145.58,5.52,231.99,254.88,6.81,147.17,70.9,441.08,7
0.06,0.48,13.22,59.56,78.78,131.31,244.52,0.05,3.49,52.93,171.7,207.57,225.24,0.04,4.36,37.24,66.65,67.79,54.35,0.45,16.76,99.45,119.61,215.63,0.66,14.04,43.23,212.76,88.02,2.54,36.88,46.27,85.79,2.47,17.97,272.45,16.08,6.64,10.07,123.15,3.6,180.92,283.52,0.72,146.12,52.55,406.4,7
0.26,2.05,22.42,44.24,117.26,191.63,122.39,0.2,5.61,80.17,146.46,192.86,208.74,0.24,7.49,35.76,137.25,70.99,50.22,0.74,27.15,101.2,146.67,285.48,1.16,16.07,94.15,190.53,90.27,4.34,42.53,90.61,245.3,3.16,38.97,305.41,32.94,8.34,40.46,176.89,7.67,221.2,231.45,9.23,142.55,67.13,390.84,7
0.23,0.68,25.85,80.73,74.37,208.05,166.2,0.14,6.35,74.47,139.7,241.81,193.34,0.07,9.05,52.73,91.87,94.92,65.7,0.87,25.92,95.11,166.51,312.71,1.44,21.46,69.39,156.59,97.01,4.22,39.58,86.6,279.43,4.03,30.84,284.96,41.57,7.73,35.34,195.35,6.4,214.21,239.87,8.24,160.34,66.11,412.54,7
0.06,0.8,20.33,99.17,81.45,194.67,49.48,0.16,1.45,40.79,164.34,164.43,231.24,0.09,5.76,54.74,70.49,82.34,107.79,0.17,12.69,95.18,129.97,220.02,0.79,18.93,48.58,225.56,185.45,1.9,35.27,82.11,161.1,3.14,20.83,289.43,5.39,6.34,36.07,175.4,4.23,190.79,316.83,7.96,153.13,55.07,452.44,7
0.18,1.51,27.54,96.68,117.33,275.58,6.81,0.18,3.53,65.26,174.27,182.54,206.18,0.19,9.27,63.62,70.73,160.36,126.2,0.51,22.7,113.7,115.06,239.57,1.44,25.19,32.62,178.23,234.67,3.69,46.09,66.87,160.09,4.61,9.69,280.85,85.35,8.84,35.15,185.19,1.42,205.92,270.24,9.35,197.81,62.86,462.8,7
0.18,3.05,25.11,45.59,133.53,142.28,155.16,0.27,6.57,66.83,138.05,124.2,238.65,0.4,8.42,38.53,119.77,110.23,13.16,0.9,21.94,88.68,69.35,259.21,1.3,16.7,74.47,274.33,98.46,3.44,35.78,53.05,173.81,3.18,30.65,326.55,11.97,6.86,32.75,154.33,6.28,212.23,278.97,8.98,151.58,61.25,404.83,7
0.15,1.28,17.18,76.75,163.74,106.81,352.52,0.11,4.98,64.13,135.64,82.94,102.27,0.15,5.48,36.97,149.08,113.11,170.45,0.65,21.39,90.78,81.05,169.11,0.83,12.7,97.73,289.14,43.46,3.37,37.03,71.15,81.65,2.2,40.94,364.39,6.54,7.1,40.06,104.12,8.27,245.85,262.06,10.28,140.83,72.47,419.13,7
0.1,1.19,8.09,30.42,91.95,164.66,227.51,0.2,5,57.57,151.88,178.5,225.42,0.14,2.64,24.5,125.94,68.73,71.56,0.66,18.38,92.54,110.81,269.37,0.41,10.29,98.62,240.49,94.65,2.82,35.59,59.38,198.07,1.92,45.59,328.53,19.66,6.57,26.39,147.76,9.79,224.74,253.8,6.35,129.68,66.35,401.37,7
0.34,1.87,27.81,33.97,93.77,209.19,154.38,0.26,6.91,86.43,147.41,225.01,189.42,0.24,9.81,33.48,138.07,105.7,98.06,0.94,30.59,105.91,174.44,279.48,1.57,16.96,103.21,168.12,54.71,5.05,45.9,108.92,272.2,3.56,44.81,308.28,16.1,9.22,50.15,198.45,9.09,234.25,252.42,11.85,147.51,72.78,423.16,7
0.22,2.03,20.3,43.19,123.73,118.93,261.82,0.24,4.36,74.03,154.89,193.04,153.16,0.25,6.74,39.28,134.51,59.24,122.45,0.57,24.64,103.48,122.27,231.26,1.03,17.51,89.97,241.85,65.36,3.89,42.56,63.63,184.2,3.39,37.08,326.93,36,8.24,26.69,110.92,7.34,224.36,208.6,6.18,109.41,66.51,361.12,7
